Topic_num,Key_words
0,"0.226*""good"" + 0.224*""anxiety"" + 0.051*""worry"" + 0.042*""bad"" + 0.034*""place"" + 0.032*""insane"" + 0.030*""stop"" + 0.027*""question"" + 0.025*""luck"" + 0.023*""offer"""
3,"0.127*""sad"" + 0.110*""friend"" + 0.066*""family"" + 0.066*""amazing"" + 0.043*""person"" + 0.040*""meet"" + 0.037*""colleague"" + 0.034*""time"" + 0.030*""wonderful"" + 0.029*""miss"""
5,"0.232*""today"" + 0.088*""therapy"" + 0.047*""session"" + 0.044*""enjoy"" + 0.038*""lead"" + 0.032*""art"" + 0.029*""follow"" + 0.029*""forward"" + 0.024*""case"" + 0.024*""music"""
6,"0.112*""back"" + 0.102*""leave"" + 0.083*""sad"" + 0.056*""hope"" + 0.042*""happen"" + 0.042*""tomorrow"" + 0.041*""put"" + 0.040*""head"" + 0.029*""excited"" + 0.027*""ready"""
7,"0.280*""stress"" + 0.107*""thesis"" + 0.071*""level"" + 0.056*""high"" + 0.054*""wait"" + 0.044*""exam"" + 0.044*""result"" + 0.035*""submit"" + 0.029*""add"" + 0.024*""deadline"""
9,"0.160*""distressful"" + 0.141*""month"" + 0.125*""job"" + 0.051*""move"" + 0.051*""hand"" + 0.041*""run"" + 0.037*""week"" + 0.035*""worth"" + 0.027*""glad"" + 0.023*""application"""
10,"0.135*""tear"" + 0.077*""happy"" + 0.071*""proud"" + 0.062*""night"" + 0.058*""finally"" + 0.046*""lot"" + 0.043*""big"" + 0.035*""graduate"" + 0.030*""late"" + 0.027*""bring"""
11,"0.255*""dissertation"" + 0.193*""stress"" + 0.156*""cry"" + 0.052*""writing"" + 0.024*""fact"" + 0.022*""literally"" + 0.021*""library"" + 0.019*""essay"" + 0.017*""proposal"" + 0.015*""buy"""
13,"0.133*""find"" + 0.069*""long"" + 0.039*""point"" + 0.039*""disorder"" + 0.034*""psychiatric"" + 0.034*""home"" + 0.030*""top"" + 0.027*""improve"" + 0.026*""history"" + 0.026*""set"""
16,"0.274*""give"" + 0.112*""life"" + 0.104*""love"" + 0.088*""thing"" + 0.044*""ill"" + 0.041*""remember"" + 0.036*""phd"" + 0.026*""interview"" + 0.018*""free"" + 0.017*""pain"""
17,"0.117*""fellowship"" + 0.102*""recovery"" + 0.097*""support"" + 0.059*""change"" + 0.034*""meeting"" + 0.032*""parent"" + 0.026*""join"" + 0.026*""service"" + 0.025*""community"" + 0.024*""advice"""
18,"0.251*""sad"" + 0.095*""phd"" + 0.088*""hear"" + 0.049*""pass"" + 0.039*""man"" + 0.034*""woman"" + 0.033*""news"" + 0.027*""story"" + 0.018*""incredible"" + 0.017*""die"""
20,"0.192*""people"" + 0.171*""academic"" + 0.045*""problem"" + 0.040*""pressure"" + 0.040*""young"" + 0.031*""huge"" + 0.031*""desperate"" + 0.026*""challenge"" + 0.024*""achievement"" + 0.024*""group"""
21,"0.365*""dissertation"" + 0.138*""stress"" + 0.087*""word"" + 0.067*""final"" + 0.057*""complete"" + 0.049*""due"" + 0.025*""assignment"" + 0.021*""finish"" + 0.018*""placement"" + 0.017*""finished"""
22,"0.217*""phd"" + 0.178*""start"" + 0.072*""thing"" + 0.065*""worried"" + 0.050*""supervisor"" + 0.039*""exhausted"" + 0.037*""kind"" + 0.029*""pretty"" + 0.028*""bit"" + 0.025*""thought"""
23,"0.199*""make"" + 0.097*""thesis"" + 0.077*""work"" + 0.050*""lot"" + 0.025*""money"" + 0.024*""email"" + 0.023*""check"" + 0.023*""current"" + 0.022*""survey"" + 0.022*""industry"""
24,"0.143*""great"" + 0.068*""career"" + 0.057*""graduate"" + 0.050*""opportunity"" + 0.043*""early"" + 0.041*""team"" + 0.039*""post"" + 0.034*""future"" + 0.033*""therapist"" + 0.032*""role"""
25,"0.181*""academic"" + 0.104*""end"" + 0.102*""year"" + 0.065*""time"" + 0.043*""burn"" + 0.032*""term"" + 0.032*""absolutely"" + 0.031*""emotional"" + 0.030*""close"" + 0.026*""true"""
27,"0.476*""year"" + 0.123*""crazy"" + 0.072*""master"" + 0.068*""degree"" + 0.064*""ago"" + 0.044*""plan"" + 0.016*""ahead"" + 0.011*""nursing"" + 0.010*""class"" + 0.010*""distinction"""
28,"0.234*""student"" + 0.093*""experience"" + 0.065*""live"" + 0.063*""university"" + 0.063*""academic"" + 0.062*""learn"" + 0.045*""suicide"" + 0.036*""staff"" + 0.026*""call"" + 0.025*""understand"""
